iter	Passed	Remaining
462	755	875
463	755	873
464	756	870
465	757	868
466	758	865
467	759	863
468	760	860
469	761	858
470	761	855
471	762	853
472	763	850
473	764	848
474	765	845
475	766	843
476	769	843
477	771	842
478	772	840
479	774	838
480	775	836
481	776	834
482	777	832
483	778	829
484	779	827
485	780	824
486	780	822
487	781	820
488	782	817
489	783	815
490	784	813
491	785	810
492	787	809
493	788	807
494	789	805
495	790	803
496	791	800
497	792	798
498	793	796
499	794	794
500	795	792
501	796	789
502	796	787
503	797	785
504	798	782
505	799	780
506	800	778
507	801	776
508	802	773
509	803	771
510	804	769
511	806	768
512	807	766
513	808	764
514	809	762
515	810	760
516	811	758
517	812	755
518	813	753
519	814	751
520	814	749
521	815	747
522	816	744
523	817	742
524	818	740
525	819	738
526	820	735
527	820	733
528	821	731
529	825	731
530	826	729
531	827	727
532	828	726
533	829	724
534	830	722
535	831	720
536	833	718
537	833	716
538	834	714
539	836	712
540	837	710
541	838	708
542	839	706
543	840	704
544	843	704
545	845	702
546	845	700
547	846	698
548	847	696
549	848	694
550	849	692
551	851	690
552	852	688
553	853	686
554	854	685
555	855	682
556	856	680
557	856	678
558	857	676
559	858	674
560	859	672
561	862	672
562	863	670
563	864	668
564	865	666
565	866	664
566	868	662
567	869	660
568	870	659
569	871	657
570	872	655
571	873	653
572	874	651
573	875	649
574	876	647
575	877	645
576	878	643
577	880	642
578	881	640
579	881	638
580	882	636
581	883	634
582	885	633
583	885	631
584	886	629
585	887	627
586	888	625
587	889	623
588	890	621
589	891	619
590	892	617
591	893	615
592	894	613
593	895	612
594	896	610
595	898	609
596	899	607
597	900	605
598	901	603
599	902	601
600	903	599
601	904	597
602	905	595
603	906	594
604	906	592
605	907	590
606	908	588
607	909	586
608	910	584
609	911	582
610	912	581
611	913	579
612	914	577
613	915	575
614	918	574
615	920	573
616	921	572
617	922	570
618	923	568
619	924	566
620	925	564
621	926	562
622	927	561
623	928	559
624	929	557
625	929	555
626	930	553
627	931	551
628	932	550
629	933	548
630	934	546
631	936	545
632	937	543
633	938	541
634	939	540
635	940	538
636	941	536
637	942	534
638	944	533
639	945	531
640	946	529
641	947	528
642	948	526
643	948	524
644	949	522
645	950	520
646	951	519
647	952	517
648	953	515
649	955	514
650	956	512
651	957	511
652	958	509
653	959	507
654	959	505
655	960	503
656	961	502
657	962	500
658	963	498
659	964	496
660	965	495
661	966	493
662	967	491
663	967	489
664	968	488
665	969	486
666	970	484
667	972	483
668	974	482
669	975	480
670	976	478
671	977	476
672	977	475
673	979	473
674	980	471
675	980	470
676	981	468
677	982	466
678	983	465
679	984	463
680	985	461
681	986	459
682	987	458
683	988	456
684	989	454
685	990	453
686	992	452
687	993	450
688	994	448
689	995	447
690	996	445
691	997	444
692	998	442
693	999	440
694	1000	438
695	1001	437
696	1001	435
697	1002	433
698	1003	432
699	1004	430
700	1005	428
701	1006	427
702	1007	425
703	1012	425
704	1014	424
705	1015	422
706	1017	421
707	1018	419
708	1019	418
709	1020	416
710	1021	415
711	1022	413
712	1023	411
713	1024	410
714	1024	408
715	1025	406
716	1026	405
717	1027	403
718	1029	402
719	1030	400
720	1031	399
721	1032	397
722	1033	395
723	1033	394
724	1034	392
725	1035	390
726	1036	389
727	1037	387
728	1038	386
729	1039	384
730	1040	382
731	1041	381
732	1042	379
733	1043	378
734	1045	376
735	1045	375
736	1047	373
737	1048	372
738	1049	370
739	1051	369
740	1052	367
741	1053	366
742	1054	364
743	1056	363
744	1058	362
745	1059	360
746	1060	359
747	1062	357
748	1063	356
749	1064	354
750	1066	353
751	1069	352
752	1070	351
753	1071	349
754	1072	348
755	1074	346
756	1076	345
757	1077	343
758	1078	342
759	1080	341
760	1082	339
761	1084	338
762	1086	337
763	1087	335
764	1088	334
765	1089	332
766	1090	331
767	1091	329
768	1093	328
769	1096	327
770	1097	325
771	1098	324
772	1099	322
773	1100	321
774	1101	319
775	1104	318
776	1105	317
777	1106	315
778	1107	314
779	1108	312
780	1109	311
781	1110	309
782	1111	307
783	1112	306
784	1112	304
785	1113	303
786	1114	301
787	1115	300
788	1116	298
789	1117	296
790	1117	295
791	1119	293
792	1123	293
793	1126	292
794	1128	291
795	1130	289
796	1131	288
797	1132	286
798	1133	285
799	1134	283
800	1135	282
801	1136	280
802	1137	279
803	1138	277
804	1140	276
805	1141	274
806	1142	273
807	1144	271
808	1145	270
809	1146	268
810	1147	267
811	1148	265
812	1149	264
813	1150	262
814	1151	261
815	1152	259
816	1154	258
817	1155	257
818	1156	255
819	1158	254
820	1159	252
821	1162	251
822	1164	250
823	1165	248
824	1166	247
825	1167	245
826	1168	244
827	1170	243
828	1171	241
829	1172	240
830	1173	238
831	1174	237
832	1177	236
833	1179	234
834	1180	233
835	1181	231
836	1182	230
837	1184	228
838	1185	227
839	1186	226
840	1188	224
841	1191	223
842	1197	223
843	1199	221
844	1200	220
845	1201	218
846	1203	217
847	1204	215
848	1205	214
849	1206	212
850	1207	211
851	1208	209
852	1209	208
853	1210	206
854	1212	205
855	1214	204
856	1215	202
857	1216	201
858	1217	199
859	1218	198
860	1219	196
861	1220	195
862	1222	194
863	1223	192
864	1224	191
865	1225	189
866	1226	188
867	1227	186
868	1229	185
869	1234	184
870	1236	183
871	1238	181
872	1239	180
873	1241	178
874	1242	177
875	1243	176
876	1244	174
877	1245	173
878	1247	171
879	1250	170
880	1255	169
881	1257	168
882	1258	166
883	1259	165
884	1261	163
885	1262	162
886	1263	160
887	1264	159
888	1265	158
889	1267	156
890	1269	155
891	1270	153
892	1271	152
893	1273	150
894	1274	149
895	1275	148
896	1276	146
897	1277	145
898	1278	143
899	1279	142
900	1280	140
901	1281	139
902	1282	137
903	1283	136
904	1283	134
905	1288	133
906	1290	132
907	1291	130
908	1292	129
909	1293	127
910	1295	126
911	1297	125
912	1298	123
913	1299	122
914	1301	120
915	1303	119
916	1311	118
917	1312	117
918	1314	115
919	1315	114
920	1317	113
921	1319	111
922	1320	110
923	1321	108
924	1323	107
925	1325	105
926	1327	104
927	1328	103
928	1329	101
929	1330	100
930	1331	98
931	1332	97
932	1333	95
933	1334	94
934	1335	92
935	1338	91
936	1340	90
937	1341	88
938	1344	87
939	1346	85
940	1347	84
941	1348	83
942	1349	81
943	1350	80
944	1351	78
945	1353	77
946	1354	75
947	1355	74
948	1356	72
949	1358	71
950	1362	70
951	1363	68
952	1364	67
953	1365	65
954	1367	64
955	1368	62
956	1369	61
957	1370	60
958	1371	58
959	1372	57
960	1373	55
961	1374	54
962	1376	52
963	1377	51
964	1381	50
965	1383	48
966	1384	47
967	1385	45
968	1386	44
969	1387	42
970	1388	41
971	1389	40
972	1390	38
973	1392	37
974	1393	35
975	1394	34
976	1395	32
977	1396	31
978	1399	30
979	1401	28
980	1402	27
981	1403	25
982	1405	24
983	1406	22
984	1408	21
985	1411	20
986	1412	18
987	1413	17
988	1417	15
989	1419	14
990	1420	12
991	1422	11
992	1423	10
993	1424	8
994	1425	7
995	1426	5
996	1428	4
997	1429	2
998	1430	1
999	1434	0
